id,environment,k,delta,epsilon,num_experiments,numTimeouts,time,conservativeSuccess,errorXYZ,errorTheta,numVoxels,numClusters,localizationVolume,localizationVolumePercentage,localizationVolumeXYT,localizationVolumePercentageXYT
271,/fdml/scans/isprs/cs3.obj,40,0.05,0.025,10,1.0,1896.6046018888887,1.0,9.594543306099913,3.606130505192553,160208.33333333334,1.0,0.0037751576799953846,7.285431517351002e-08,0.07562762705228274,1.5693561484414807e-05
272,/fdml/scans/isprs/cs3.obj,40,0.05,0.05,10,8.0,24050.761,1.0,3.523723512411374,3.17106183070723,2088614.5,1.0,0.04921622306546171,9.497919109077598e-07,0.6408181929577654,0.00013297679834066317
273,/fdml/scans/isprs/cs3.obj,50,0.1,0.0,10,1.0,74.16832388888889,1.0,0.028279243828334244,2.8373118770701806,12.555555555555555,1.0,4.733756452819419e-06,9.135369004474654e-11,0.0002254005731838842,4.677308930291045e-08
274,/fdml/scans/isprs/cs3.obj,50,0.1,0.01,10,0.0,151.00655410000002,1.0,0.05715328351670742,3.016571411504795,552.0,1.0,0.00020811771732395603,4.016328603029238e-09,0.0037430458015889337,7.767230272292879e-07
275,/fdml/scans/isprs/cs3.obj,50,0.1,0.025,10,0.0,531.8913124,1.0,4.829943077643953,3.1401315985616036,9630.0,1.0,0.0036307493076631323,7.006747182459849e-08,0.05509368470262101,1.1432543396949658e-05
276,/fdml/scans/isprs/cs3.obj,50,0.1,0.05,10,2.0,7847.205276250001,1.0,7.626187461419384,3.398204801735318,597687.0,1.0,0.22534285165806184,4.348745278585034e-06,2.2401186628962906,0.0004648491740226682
277,/fdml/scans/isprs/cs3.obj,50,0.05,0.0,10,0.0,80.4887168,1.0,0.010366038678763748,3.1028616972846166,10.1,1.0,2.3799693670425426e-07,4.592948243953312e-12,2.2664725777007556e-05,4.703179001808086e-09
278,/fdml/scans/isprs/cs3.obj,50,0.05,0.01,10,0.0,178.15580430000006,1.0,0.04945117403473794,3.115031603609215,2655.5,1.0,6.257434311070613e-05,1.2075815902789827e-09,0.0016904294978039639,3.5078264772891896e-07
279,/fdml/scans/isprs/cs3.obj,50,0.05,0.025,10,0.0,1115.3917085,1.0,4.012767792189606,3.195491329562813,53888.7,1.0,0.0012698361903928934,2.4505743567703447e-08,0.023966040081768756,4.9732159823178684e-06
280,/fdml/scans/isprs/cs3.obj,50,0.05,0.05,10,5.0,9716.7098088,1.0,6.06790945646176,3.5705665103439443,909777.0,1.0,0.021438033572859522,4.1371868065105727e-07,0.3321091440524123,6.891628727316507e-05
281,/fdml/scans/perlin/perlin1.obj,10,0.1,0.0,10,0.0,161.08382490000002,1.0,1.374477061100494,3.014144206456632,872.6,1.0,0.010480178749778609,2.6005506515503e-05,0.2552138559694982,0.0016504287719726514
282,/fdml/scans/perlin/perlin1.obj,10,0.1,0.01,10,0.0,675.8841914999999,1.0,1.5941134418189598,3.2049800347364688,56357.0,1.0,0.6768638938801941,0.001679569482799324,10.875301543535121,0.07032890319824214
283,/fdml/scans/perlin/perlin1.obj,10,0.1,0.025,10,0.0,1246.9666333999999,1.0,1.6647215258227965,3.152466708349025,152643.3,1.0,1.8332902463321132,0.00454912483690271,18.216099116445434,0.11780071258544941
284,/fdml/scans/perlin/perlin1.obj,10,0.1,0.05,10,0.0,2045.9978208000005,1.0,1.6664617810078088,3.1518928879637884,315663.6,1.0,3.79121126840068,0.009407508373282757,23.287372155767205,0.15059585571289058
285,/fdml/scans/perlin/perlin1.obj,10,0.05,0.0,10,0.0,179.50864170000003,1.0,0.800260504370161,2.6562061762088143,60.5,1.0,4.541390774421299e-05,1.126900315284729e-07,0.002164141532620134,1.3995170593261743e-05
286,/fdml/scans/perlin/perlin1.obj,10,0.05,0.01,10,0.0,3443.6225499,1.0,1.5432453493553255,3.2296746570380774,283490.9,1.0,0.21280048890980133,0.000528042949741002,6.034599903617169,0.039024829864501925
287,/fdml/scans/perlin/perlin1.obj,10,0.05,0.025,10,0.0,10366.741470800001,1.0,1.6560057801468624,3.1626782716773163,1429390.4,1.0,1.0729620455777895,0.0026624470949744134,15.967674041104218,0.10326049327850309
288,/fdml/scans/perlin/perlin1.obj,10,0.05,0.05,10,1.0,19690.97165733333,1.0,1.6243489979108472,3.149258603714428,3265309.777777778,1.0,2.451082264593433,0.006082113418462914,19.43612110413064,0.12569040722317149
289,/fdml/scans/perlin/perlin1.obj,20,0.1,0.0,10,0.0,56.846508199999995,1.0,0.0913442568803531,3.37733863220445,15.4,1.0,0.00018495846063097617,4.58955764770507e-07,0.004483127944916652,2.899169921874996e-05
290,/fdml/scans/perlin/perlin1.obj,20,0.1,0.01,10,0.0,318.272154,1.0,1.7581879552483737,3.127151756002133,14022.7,1.0,0.16841668869418983,0.00041790902614602014,3.035844469541264,0.019632339477539083
291,/fdml/scans/perlin/perlin1.obj,20,0.1,0.025,10,0.0,934.1713,1.0,1.7956453145881706,3.139095546101853,72366.7,1.0,0.8691450281128367,0.0021566957235326623,9.959062269792778,0.0644037246704101
292,/fdml/scans/perlin/perlin1.obj,20,0.1,0.05,10,0.0,1976.7143500999998,1.0,1.7927453915220457,3.143245989244054,228573.0,1.0,2.7452279364654517,0.006812006235084616,17.93684743629758,0.11599483489990244
293,/fdml/scans/perlin/perlin1.obj,20,0.05,0.0,10,0.0,57.6560582,1.0,0.016099795590900082,2.8650088508438065,14.0,1.0,1.050900344494183e-05,2.6077032089233355e-08,0.0004792817704269447,3.0994415283203083e-06
294,/fdml/scans/perlin/perlin1.obj,20,0.05,0.01,10,0.0,1195.6037917999997,1.0,1.6512633161798924,3.147346276845102,52053.7,1.0,0.03907375090149723,9.695757180434476e-05,1.2200781087130776,0.00789005756378173
295,/fdml/scans/perlin/perlin1.obj,20,0.05,0.025,10,0.0,6240.7357291,1.0,1.8005786310673062,3.1368893168480008,595236.6,1.0,0.4468102485722353,0.0011087145656446212,7.660847192070021,0.049541521072387885
296,/fdml/scans/perlin/perlin1.obj,20,0.05,0.05,10,0.0,20223.3736707,1.0,1.7935113295654808,3.142124090758427,2648343.8,1.0,1.9879610084462853,0.004932924732682437,16.992942544053047,0.10989074707031254
