flow,lighthouse
1.035,1.0218710899353027
1.035,1.022492527961731
1.035,1.0214333534240725
1.03,1.022130846977234
1.03,1.0221961736679075
1.03,1.0225950479507446
1.03,1.022446632385254
1.03,1.0223000049591064
1.032,1.0219831466674805
1.032,1.0222492218017578
1.032,1.020413160324097
1.032,1.0211429595947266
1.029,1.021166443824768
1.029,1.0215883255004885
1.029,1.019921064376831
1.029,1.020622968673706
1.027,1.019442796707153
1.027,1.0203927755355835
1.027,1.020281195640564
1.027,1.0209356546401978
1.029,1.0193252563476562
1.029,1.0206267833709717
1.029,1.0194416046142578
1.029,1.0193365812301636
1.029,1.0189497470855713
1.034,1.0211708545684814
1.034,1.0212002992630005
1.034,1.0212322473526
1.034,1.0202178955078125
1.028,1.0214316844940186
1.028,1.0210800170898438
1.028,1.021080732345581
1.028,1.0210678577423096
1.027,1.0222384929656982
1.027,1.0223294496536257
1.027,1.0224339962005615
1.027,1.0225095748901367
1.037,1.026028037071228
1.037,1.026224136352539
1.037,1.0265638828277588
1.037,1.026795744895935
1.033,1.027073621749878
1.033,1.028950333595276
1.033,1.0292932987213137
1.033,1.029658555984497
1.036,1.0219513177871704
1.036,1.0232813358306885
1.036,1.0232616662979126
1.036,1.0221991539001465
1.036,1.0221142768859863
1.03,1.0230190753936768
1.03,1.022927165031433
1.03,1.0226004123687744
1.03,1.022475242614746
1.035,1.0242117643356323
1.035,1.024177312850952
1.035,1.0238964557647705
1.035,1.023824691772461
1.027,1.0237360000610352
1.027,1.0242340564727783
1.027,1.0242210626602173
1.027,1.0216845273971558
1.027,1.0209286212921145
1.031,1.022243618965149
1.031,1.0213502645492554
1.031,1.0211979150772097
1.029,1.0209310054779053
1.029,1.0221368074417114
1.029,1.0206633806228638
1.029,1.0204689502716064
1.029,1.0201281309127808
1.031,1.022229552268982
1.031,1.0205669403076172
1.031,1.020402193069458
1.031,1.0199902057647705
1.029,1.0212408304214478
1.029,1.020537257194519
1.029,1.0203996896743774
1.029,1.0202938318252563
1.028,1.020493984222412
1.028,1.0204222202301023
1.028,1.0210474729537964
1.028,1.021003007888794
1.034,1.021653175354004
1.034,1.0235868692398071
1.034,1.0236008167266846
1.034,1.023707628250122
1.032,1.0238126516342163
1.032,1.021871566772461
1.032,1.0220515727996826
1.032,1.020397424697876
1.032,1.0202393531799316
1.031,1.0218323469161987
1.031,1.0217710733413696
1.031,1.020877242088318
1.031,1.0210378170013428
1.031,1.022510051727295
1.031,1.022475242614746
1.031,1.022432804107666
1.031,1.0223923921585083
1.033,1.024275302886963
1.033,1.0243970155715942
1.033,1.0211248397827148
1.033,1.0215976238250732
1.033,1.0215177536010742
1.033,1.0236976146697998
1.033,1.021145582199097
1.033,1.0217163562774658
1.031,1.0206791162490845
1.031,1.0227668285369873
1.031,1.0227282047271729
1.031,1.0230026245117188
1.031,1.0229835510253906
1.03,1.024214267730713
1.03,1.024284601211548
1.03,1.024358153343201
1.03,1.024427890777588
1.029,1.025781750679016
1.029,1.0259649753570557
1.029,1.025355100631714
1.029,1.0254533290863037
1.028,1.025600552558899
1.028,1.0256831645965576
1.028,1.025373458862305
1.028,1.0215684175491333
1.028,1.0213508605957031
1.028,1.0223804712295532
1.028,1.0221551656723022
1.028,1.0226788520812988
1.028,1.0224688053131104
1.027,1.0229376554489136
1.027,1.023199200630188
1.027,1.0210566520690918
1.027,1.0217349529266355
1.027,1.021641731262207
1.027,1.022002100944519
1.027,1.0207552909851074
1.027,1.0213764905929563
1.034,1.0225811004638672
1.034,1.0210814476013184
1.034,1.020887851715088
1.034,1.0206953287124634
1.034,1.020506739616394
1.034,1.0230364799499512
1.034,1.0230348110198977
1.034,1.0209264755249023
1.034,1.0207476615905762
1.035,1.022777438163757
1.035,1.022722601890564
1.035,1.0222811698913574
1.035,1.0222092866897583
1.03,1.0236375331878662
1.03,1.0236663818359375
1.03,1.0236936807632446
1.03,1.0205540657043457
1.027,1.021342396736145
1.027,1.020744800567627
1.027,1.0209122896194458
1.027,1.0207234621047974
1.025,1.021321177482605
1.025,1.0201077461242676
1.025,1.0206419229507446
1.025,1.0196492671966553
1.028,1.0204545259475708
1.028,1.0206623077392578
